Label: DJ_MDA-MB-468_30-1-2014
Metric: Phase Object Confluence (Percent)
Cell Type: MDA-MB-468
Passage: 1
Notes: 
Analysis Job: MDA-MB-468_30-1-2014

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
30/01/2014 17:00:00	0	15.75452	13.92839	15.63619	16.2921	14.89168	14.11852	14.24562	15.08593	14.49174	14.32081	14.73375	15.97321	15.78094	14.01332	14.17295	15.55517	15.27921	15.30262	6.596726	6.899142	6.794629	6.62225	6.412638	6.554659	7.608313	7.102777	6.913023	6.490419	6.102384	6.065014	7.646788	7.530393	5.918675	6.012688	7.299644	6.652678	3.48157	3.49694	4.209942	3.531651	3.629185	3.453284	3.490067	3.406796	3.424099	3.637994	3.038033	3.066078	3.106557	3.031263	3.325942	3.103172	3.326495	2.547248	1.329817	1.116856	2.09214	1.287992	1.970567	1.603703
30/01/2014 21:00:00	4	16.65099	14.66726	16.59099	16.9208	15.91792	14.2107	15.28949	15.53814	15.29029	15.06493	15.32144	16.43726	16.12573	14.63669	14.98698	16.07807	16.20607	15.87415	7.225386	7.115384	6.860149	6.921626	6.780228	6.662281	7.910969	7.409027	7.497028	7.069932	6.269376	6.35679	7.85032	7.927132	6.412154	6.395855	7.512501	7.064372	3.600623	3.641965	4.38422	3.581662	3.754041	3.559384	3.60121	3.54108	3.647042	3.812031	3.27714	3.135327	3.37616	3.233207	3.485439	3.363899	3.756043	2.515818	1.414712	1.214149	2.19306	1.370054	1.928016	1.726866
31/01/2014 01:00:00	8	18.18754	15.68965	17.9952	19.07279	17.59508	15.72603	16.96248	17.55578	16.71471	16.65534	16.40418	18.10497	18.28436	16.14846	16.44466	17.73455	17.56427	17.92336	7.721146	7.883889	7.087926	7.575534	7.740695	7.005483	8.454732	8.00688	8.450315	7.774438	7.054046	7.248701	8.398264	8.679991	7.132168	7.668958	8.23041	7.514645	4.033487	3.895543	4.882639	3.947937	4.109575	4.100077	3.976569	3.664449	3.908874	4.211463	3.845187	3.587913	3.671426	3.490447	3.708658	3.865322	3.953324	2.82072	1.459473	1.235598	2.398976	1.645115	2.033115	1.850443
31/01/2014 05:00:00	12	19.63748	17.50307	20.01802	21.30526	19.33532	16.941	18.33188	19.16525	18.88669	18.20544	18.60449	19.91586	19.83922	17.6883	18.37875	19.3617	19.52938	19.85107	8.21397	8.741882	8.347597	8.403963	8.387971	8.055508	9.581366	8.724579	9.195887	8.565013	8.109355	8.3362	9.452503	9.694578	8.299002	8.240253	9.016944	8.523394	4.420901	4.385983	5.22726	4.2842	4.632585	4.611447	4.496573	4.184176	4.315629	4.71886	4.089509	4.168601	3.977951	3.992353	4.272007	4.501271	4.328131	3.191485	1.607883	1.429494	2.54787	1.895861	2.247907	2.233159
31/01/2014 09:00:00	16	21.24509	18.90376	21.44776	22.43593	21.56357	18.19159	20.02566	21.01822	20.44737	19.65417	19.93462	21.43989	21.1478	18.95506	20.31116	20.8163	20.95556	21.50665	8.7519	9.263233	9.021882	9.089888	9.251734	8.885284	10.35629	9.608168	10.17252	9.235119	8.467579	8.999331	10.14731	10.261	8.741674	9.03815	9.661666	9.261059	4.848102	4.675135	5.687754	4.709051	5.175868	5.087554	4.85083	4.521717	4.611516	5.111006	4.241234	4.542509	4.367989	4.216331	4.429846	4.778749	4.584059	3.508786	1.75391	1.587713	2.891626	2.008075	2.338293	2.230292
31/01/2014 13:06:00	20.1	23.0897	20.1099	22.97334	23.7702	22.50152	19.92633	21.21764	22.20891	21.78261	21.42877	21.67624	22.91642	22.75368	20.51358	21.34284	22.41352	22.54096	23.37291	9.554386	9.876698	9.491219	9.935998	9.814703	9.714369	11.06267	10.28	10.78332	9.686013	9.315905	9.715508	10.70057	10.7063	9.542164	9.699346	10.56021	10.04835	5.03585	5.04338	5.862967	5.136528	5.436352	5.633841	5.24408	5.100816	4.770978	5.347107	4.609755	4.945394	4.601983	4.617767	4.870067	5.112317	5.021551	3.749965	1.916964	1.732082	3.228545	2.067031	2.528286	2.425812
31/01/2014 17:00:00	24	23.72755	20.92168	23.25997	24.74645	23.52599	19.8795	21.9661	22.33681	22.35069	21.98355	22.33124	24.35672	23.05357	21.25179	21.5548	23.57372	23.27669	24.67942	10.02442	10.24376	9.965219	10.23444	10.56255	9.91614	11.42573	10.81178	11.10232	9.601743	9.721865	10.16022	10.40544	9.01929	9.267067	9.114512	10.66023	10.1376	5.189026	3.872714	4.066989	5.357503	5.945271	5.854712	5.124336	3.801703	4.881983	5.269672	4.909786	4.777057	4.531837	2.540893	3.316823	4.873211	5.565663	3.856031	1.763822	1.31462	1.830688	1.858283	2.681497	2.565898
31/01/2014 21:00:00	28	25.38458	22.94986	25.08033	26.48848	25.04539	21.31441	23.58076	24.19253	24.00779	23.49348	24.98518	25.72447	24.94823	23.27897	23.01337	25.53903	25.38607	25.78205	10.89049	11.28999	11.01266	11.26589	11.58163	11.0274	12.3509	11.91278	12.48356	10.1635	10.58418	10.96675	11.25794	8.815313	10.20181	9.906019	11.44562	11.0226	5.50505	4.12719	4.291867	5.768816	6.557111	5.981295	5.412452	3.695913	4.967015	5.618127	5.357192	5.333533	5.07132	2.696141	3.389181	5.323828	5.916052	4.139312	1.9486	1.29445	1.89403	2.134173	2.823379	2.797096
01/02/2014 01:00:00	32	27.06503	23.66828	26.65876	28.08659	27.84966	22.72335	25.16567	25.36352	25.93295	25.12568	26.16103	28.45739	26.84529	24.45326	24.91172	27.14743	27.82076	28.10548	11.93527	12.35193	11.83538	12.07173	12.49433	12.00611	13.62607	12.70553	13.28964	10.94617	10.91885	11.75501	12.482	9.209734	10.6834	10.7446	12.56573	11.81173	6.053857	4.41496	4.460688	6.348847	7.027347	6.667323	6.00288	4.195333	5.332876	6.074927	5.67698	5.694663	5.49151	2.635631	3.572233	5.783047	6.277077	4.383116	2.073386	1.354892	1.930364	2.257232	3.060275	2.943019
01/02/2014 05:00:00	36	29.30537	25.22363	28.54937	29.35292	29.40968	24.90239	26.92104	27.00562	27.73938	26.78416	28.25054	30.33954	28.54408	26.75767	26.57579	28.93364	29.34982	30.05744	12.75144	13.15422	12.65708	12.6644	13.48772	12.89494	14.65966	13.70379	14.08322	11.95765	11.55563	13.1355	13.30857	9.690712	11.45032	11.63461	13.34835	13.23908	6.467381	4.587028	4.490253	6.733807	7.566451	6.723826	6.523471	4.236259	5.655462	6.713569	5.976528	6.22558	5.927761	2.759623	3.799251	6.129462	6.644493	4.604574	2.302546	1.452703	2.110894	2.502694	3.459673	3.095676
