Label: DJ_T47D_20-12-2013_plate-2
Metric: Phase Object Confluence (Percent)
Cell Type: T47D
Passage: 1
Notes: 
Analysis Job: DJ_T47D_20-12-13_plate 2

Date Time	Elapsed	B2	C2	D2	E2	F2	G2	B3	C3	D3	E3	F3	G3	B4	C4	D4	E4	F4	G4	B5	C5	D5	E5	F5	G5	B6	C6	D6	E6	F6	G6	B7	C7	D7	E7	F7	G7	B8	C8	D8	E8	F8	G8	B9	C9	D9	E9	F9	G9	B10	C10	D10	E10	F10	G10	B11	C11	D11	E11	F11	G11
20/12/2013 12:00:00	0	5.051547	5.377345	5.603742	5.199871	4.783619	5.26539	5.187904	5.851206	5.552815	5.467973	6.130204	5.63201	5.189734	5.371422	5.980654	5.674924	5.808743	5.376775	5.406893	5.972003	5.602671	6.061232	5.544992	4.649853	5.440688	5.752704	5.480873	6.13896	4.876457	4.862383	6.286265	5.726231	5.051858	5.314813	5.145491	5.126306	5.579046	5.500438	4.650061	5.815252	5.486087	4.569638	5.177646	4.714214	5.367398	5.706319	5.360197	5.092423	5.550293	5.321048	5.424541	5.759249	4.936294	5.448545	4.892396	5.136736	5.023036	5.192238	4.963148	4.675998
20/12/2013 16:00:00	4	5.613516	6.017231	6.322944	5.73654	5.466142	5.871359	5.820295	6.187192	6.262278	6.326001	7.02265	6.470472	5.822385	5.92334	6.590027	6.352439	6.69117	6.023845	6.070937	6.590665	6.311322	6.778914	6.280686	5.406719	6.102419	6.495151	6.15274	6.96637	5.461479	5.423988	6.932039	6.363042	5.655169	5.957826	5.889233	5.683369	6.07009	6.160132	5.270812	6.578249	6.015003	5.07474	5.879268	5.272902	6.060058	6.37223	6.000152	5.571414	6.183272	5.976182	6.109189	6.481474	5.670832	6.023551	5.474482	5.743655	5.706112	5.73053	5.5882	5.294384
20/12/2013 20:00:00	8	6.016368	6.548581	6.803799	6.248774	5.926016	6.231262	6.117598	6.80582	6.76213	6.775669	7.500121	6.971757	6.26226	6.602979	7.259167	6.685162	7.273983	6.558873	6.505253	7.160456	6.774788	7.331161	6.804266	5.828722	6.690014	6.850442	6.709148	7.531652	5.799468	5.9012	7.474355	6.738264	6.182823	6.372091	6.339885	6.109188	6.69927	6.662885	5.676582	7.128354	6.452497	5.458561	6.181666	5.615726	6.537771	6.750369	6.366323	6.071283	6.601562	6.408806	6.50318	6.918344	6.028041	6.455639	5.864313	6.136059	6.090866	6.016367	6.03374	5.626329
21/12/2013 00:00:00	12	6.303931	6.852879	7.181162	6.505373	6.24601	6.519464	6.460561	7.138438	7.021008	7.254313	7.779083	7.264623	6.566022	6.760282	7.71493	7.120271	7.730248	6.931039	6.74676	7.503367	7.077151	7.708472	7.0776	6.064979	6.898623	7.211297	7.001443	7.84348	6.10658	6.068122	7.875289	6.992118	6.515285	6.73657	6.769606	6.47372	6.984795	7.02657	5.922854	7.381378	6.747416	5.772287	6.5329	5.897711	6.854397	7.041042	6.772144	6.27744	6.989908	6.864361	6.887139	7.279128	6.416973	6.773267	6.212041	6.374198	6.417371	6.367792	6.281032	6.022602
21/12/2013 04:00:00	16	6.633215	7.218808	7.475269	6.838372	6.679116	6.804041	6.677959	7.510464	7.255349	7.358844	7.903871	7.506613	6.891784	7.0647	8.118626	7.343853	7.886981	7.06969	7.08575	7.818544	7.250928	8.004444	7.332421	6.301099	7.328381	7.544553	7.245074	8.116934	6.331648	6.308818	8.28947	7.408216	6.911747	7.111896	7.176377	6.745965	7.414484	7.551305	6.375839	7.700543	6.918639	6.035294	6.96858	6.23406	7.182889	7.295587	7.05047	6.409047	7.327827	7.181784	7.225646	7.614148	6.639865	7.119684	6.568094	6.788344	6.842154	6.56711	6.712498	6.378429
21/12/2013 08:00:00	20	6.975574	7.706313	7.919948	7.212988	6.995381	7.100498	6.992239	7.734132	7.678475	7.57581	8.06176	7.561806	7.201245	7.448435	8.439035	7.79549	8.103275	7.265469	7.371157	8.114259	7.753059	8.311126	7.646924	6.558009	7.700182	7.832324	7.655869	8.55365	6.637724	6.593566	8.613799	7.765476	7.203265	7.43873	7.600419	7.142186	7.783729	7.988695	6.717748	8.091999	7.28747	6.245942	7.295171	6.55466	7.733009	7.724168	7.373851	6.784009	7.707469	7.563204	7.682256	7.884996	7.103883	7.411686	6.702326	7.176879	7.124969	6.995761	7.093971	6.73657
21/12/2013 12:00:00	24	7.474424	8.375211	8.237162	7.603424	7.292426	7.636321	7.183164	7.963085	7.967437	7.828664	8.216162	7.763749	7.557592	7.862407	8.916146	7.950341	8.302559	7.574584	7.748966	8.488598	8.151439	8.68657	7.975726	7.109271	8.070447	8.343626	8.070274	9.033972	7.044063	6.979477	9.168738	8.247972	7.509566	7.813001	7.952033	7.380601	7.946611	8.387904	7.130614	8.711731	7.60515	6.675197	7.700458	6.9424	8.193455	8.221015	7.78644	7.325668	8.123393	7.99094	8.172661	8.387557	7.494491	7.857329	7.001167	7.731266	7.478189	7.254849	7.624596	7.04396
21/12/2013 16:00:00	28	7.899881	8.808764	8.674327	7.995776	7.751989	8.203176	7.492643	8.405259	8.365022	7.965623	8.294978	7.760865	7.925438	8.325165	9.389643	8.15686	8.507645	7.690875	8.302956	8.944052	8.638821	9.06654	8.495592	7.314962	8.463627	8.702147	8.476543	9.543423	7.5067	7.36342	9.477543	8.890932	7.836123	8.190397	8.350308	7.748846	8.386608	8.830041	7.569973	9.074743	8.072277	7.020871	8.218096	7.210433	8.771551	8.504658	8.07238	7.760191	8.704428	8.709313	8.687469	8.815138	7.94345	8.384449	7.499084	8.207008	7.799513	7.703739	7.897532	7.611815
21/12/2013 20:00:00	32	8.30648	9.381165	9.273649	8.569123	8.303992	8.732143	7.825227	8.921326	8.861143	8.159536	8.567966	7.898914	8.376678	8.717603	9.84413	8.281594	8.8613	8.187116	8.72016	9.383237	9.23386	9.628387	8.887495	7.840578	8.817227	9.175594	9.067749	10.12366	8.000248	7.871853	10.15236	9.470653	8.321054	8.777473	8.865271	8.245435	9.011848	9.317183	8.129766	9.733089	8.461383	7.457121	8.704374	7.715067	9.38315	8.925089	8.736461	8.234485	9.546928	9.131869	9.322052	9.433281	8.443749	8.956865	7.956782	8.703789	8.363277	8.234123	8.439312	8.026325
22/12/2013 00:00:00	36	8.865028	9.936672	9.829381	9.357609	8.760326	9.242737	8.268504	9.406118	9.333087	8.26968	8.68543	8.041471	8.846325	9.150434	10.4009	8.596046	9.311914	8.580486	9.143301	9.902411	9.804029	10.32621	9.448047	8.267314	9.504949	9.723747	9.649402	10.8858	8.537486	8.609827	10.67665	10.29998	8.895699	9.357038	9.389643	8.788544	9.715768	9.947761	8.696709	10.42261	9.204538	7.991389	9.305301	8.26348	10.15114	9.549174	9.427066	8.811875	10.08634	9.709794	9.925138	10.10106	9.041501	9.728756	8.539352	9.285407	8.922879	8.817453	9.011141	8.533619
22/12/2013 04:00:00	40	9.558498	10.65752	10.52311	9.81826	9.426755	9.840728	8.59254	9.9527	10.01048	8.423374	8.864889	8.196941	9.428481	9.895505	11.0995	9.090631	9.896144	9.040275	9.824355	10.69876	10.49583	11.04357	9.944323	8.828176	10.24442	10.41658	10.33904	11.8152	9.22823	9.108349	11.31812	11.03849	9.60504	9.97508	10.09869	9.470343	10.47859	10.86967	9.276686	11.25019	9.839225	8.560333	9.973179	8.856601	10.80227	10.14817	10.08616	9.309932	10.79127	10.48256	10.42053	10.81448	9.873123	10.34284	9.222616	10.03471	9.680109	9.714836	9.581761	9.274217
22/12/2013 08:00:00	44	10.21985	11.27882	11.19552	10.59497	10.19036	10.6097	9.128174	10.5247	10.57203	8.601296	9.055988	8.367507	10.09284	10.53998	11.80711	9.787262	10.46523	9.605679	10.65498	11.36543	11.03353	11.81128	10.48474	9.411645	10.86754	11.0131	11.27661	12.48359	9.72183	9.699932	11.99443	11.80314	10.36982	10.66769	10.7664	10.14596	11.08052	11.65237	9.972162	11.96014	10.61433	9.160329	10.76234	9.597199	11.68419	11.01778	10.70594	9.990811	11.40347	11.24879	11.26988	11.65499	10.48037	11.02944	9.880533	11.0006	10.32569	10.37353	10.42734	9.97154
