"row"	"col"	"sampleid"	"conc"	"samptype"	"concunits"	"growthcondition"	"celltype"	"passage"	"seedingdensity"
1	1	"-"	NA	"B"	NA	NA	NA	NA	NA
1	2	"-"	NA	"B"	NA	NA	NA	NA	NA
1	3	"-"	NA	"B"	NA	NA	NA	NA	NA
1	4	"-"	NA	"B"	NA	NA	NA	NA	NA
1	5	"-"	NA	"B"	NA	NA	NA	NA	NA
1	6	"-"	NA	"B"	NA	NA	NA	NA	NA
1	7	"-"	NA	"B"	NA	NA	NA	NA	NA
1	8	"-"	NA	"B"	NA	NA	NA	NA	NA
1	9	"-"	NA	"B"	NA	NA	NA	NA	NA
1	10	"-"	NA	"B"	NA	NA	NA	NA	NA
1	11	"-"	NA	"B"	NA	NA	NA	NA	NA
1	12	"-"	NA	"B"	NA	NA	NA	NA	NA
2	1	"-"	NA	"B"	NA	NA	NA	NA	NA
2	2	"DMSO"	0.1	"C"	"%"	"8 x 10e4/mL"	NA	NA	NA
2	3	"DMSO"	0.1	"C"	"%"	"8 x 10e4/mL"	NA	NA	NA
2	4	"DMSO"	0.1	"C"	"%"	"8 x 10e4/mL"	NA	NA	NA
2	5	"DMSO"	0.1	"C"	"%"	"4 x 10e4/mL"	NA	NA	NA
2	6	"DMSO"	0.1	"C"	"%"	"4 x 10e4/mL"	NA	NA	NA
2	7	"DMSO"	0.1	"C"	"%"	"4 x 10e4/mL"	NA	NA	NA
2	8	"DMSO"	0.1	"C"	"%"	"2 x 10e4/mL"	NA	NA	NA
2	9	"DMSO"	0.1	"C"	"%"	"2 x 10e4/mL"	NA	NA	NA
2	10	"DMSO"	0.1	"C"	"%"	"2 x 10e4/mL"	NA	NA	NA
2	11	"DMSO"	0.1	"C"	"%"	"1 x 10e4/mL"	NA	NA	NA
2	12	"-"	NA	"B"	NA	NA	NA	NA	NA
3	1	"-"	NA	"B"	NA	NA	NA	NA	NA
3	2	"PDD00017273"	30	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
3	3	"PDD00017273"	30	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
3	4	"PDD00017273"	30	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
3	5	"PDD00017273"	30	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
3	6	"PDD00017273"	30	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
3	7	"PDD00017273"	30	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
3	8	"PDD00017273"	30	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
3	9	"PDD00017273"	30	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
3	10	"PDD00017273"	30	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
3	11	"PDD00017273"	30	"S"	"µM"	"1 x 10e4/mL"	NA	NA	NA
3	12	"-"	NA	"B"	NA	NA	NA	NA	NA
4	1	"-"	NA	"B"	NA	NA	NA	NA	NA
4	2	"PDD00017273"	10	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
4	3	"PDD00017273"	10	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
4	4	"PDD00017273"	10	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
4	5	"PDD00017273"	10	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
4	6	"PDD00017273"	10	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
4	7	"PDD00017273"	10	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
4	8	"PDD00017273"	10	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
4	9	"PDD00017273"	10	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
4	10	"PDD00017273"	10	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
4	11	"PDD00017273"	10	"S"	"µM"	"1 x 10e4/mL"	NA	NA	NA
4	12	"-"	NA	"B"	NA	NA	NA	NA	NA
5	1	"-"	NA	"B"	NA	NA	NA	NA	NA
5	2	"PDD00017273"	3.33333333333333	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
5	3	"PDD00017273"	3.33333333333333	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
5	4	"PDD00017273"	3.33333333333333	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
5	5	"PDD00017273"	3.33333333333333	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
5	6	"PDD00017273"	3.33333333333333	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
5	7	"PDD00017273"	3.33333333333333	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
5	8	"PDD00017273"	3.33333333333333	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
5	9	"PDD00017273"	3.33333333333333	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
5	10	"PDD00017273"	3.33333333333333	"S"	"µM"	"2 x 10e4/mL"	NA	NA	NA
5	11	"PDD00017273"	3.33333333333333	"S"	"µM"	"1 x 10e4/mL"	NA	NA	NA
5	12	"-"	NA	"B"	NA	NA	NA	NA	NA
6	1	"-"	NA	"B"	NA	NA	NA	NA	NA
6	2	"PDD00017273"	1.11111111111111	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
6	3	"PDD00017273"	1.11111111111111	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
6	4	"PDD00017273"	1.11111111111111	"S"	"µM"	"8 x 10e4/mL"	NA	NA	NA
6	5	"PDD00017273"	1.11111111111111	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
6	6	"PDD00017273"	1.11111111111111	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
6	7	"PDD00017273"	1.11111111111111	"S"	"µM"	"4 x 10e4/mL"	NA	NA	NA
